id,topic,message,timestamp,Temperature (°C),Air Quality,Humidity
480,t4g1,27.0;63.2;43,2024-07-22 16:10:26,27.0,63.2,43
481,t4g1,27.0;59.6;47,2024-07-22 16:21:19,27.0,59.6,47
482,t4g1,27.1;60.2;45,2024-07-22 16:31:19,27.1,60.2,45
483,t4g1,27.1;60.2;45,2024-07-22 16:41:20,27.1,60.2,45
484,t4g1,27.2;60.1;44,2024-07-22 16:51:20,27.2,60.1,44
485,t4g1,27.2;60.3;44,2024-07-22 17:01:21,27.2,60.3,44
486,t4g1,27.2;60.3;44,2024-07-22 17:11:21,27.2,60.3,44
487,t4g1,27.2;60.2;44,2024-07-22 17:21:22,27.2,60.2,44
488,t4g1,27.2;60.3;44,2024-07-22 17:31:23,27.2,60.3,44
489,t4g1,27.2;60.7;44,2024-07-22 17:41:23,27.2,60.7,44
490,t4g1,27.2;60.8;44,2024-07-22 17:51:24,27.2,60.8,44
491,t4g1,27.1;60.2;43,2024-07-22 18:01:24,27.1,60.2,43
492,t4g1,26.9;60.6;44,2024-07-22 18:11:25,26.9,60.6,44
493,t4g1,26.9;60.7;44,2024-07-22 18:21:25,26.9,60.7,44
494,t4g1,26.7;61.0;43,2024-07-22 18:31:26,26.7,61.0,43
495,t4g1,26.7;60.7;44,2024-07-22 18:41:26,26.7,60.7,44
496,t4g1,26.7;61.1;44,2024-07-22 18:51:27,26.7,61.1,44
497,t4g1,26.5;61.0;44,2024-07-22 19:01:28,26.5,61.0,44
498,t4g1,26.7;62.5;42,2024-07-22 19:11:28,26.7,62.5,42
499,t4g1,27.0;63.2;43,2024-07-22 19:21:29,27.0,63.2,43
500,t4g1,27.1;64.0;41,2024-07-22 19:31:29,27.1,64.0,41
501,t4g1,27.2;64.7;40,2024-07-22 19:41:30,27.2,64.7,40
502,t4g1,27.2;64.7;40,2024-07-22 19:51:30,27.2,64.7,40
503,t4g1,27.3;65.0;39,2024-07-22 20:01:31,27.3,65.0,39
504,t4g1,27.3;65.9;40,2024-07-22 20:11:32,27.3,65.9,40
505,t4g1,27.4;66.2;39,2024-07-22 20:21:32,27.4,66.2,39
506,t4g1,27.4;66.3;39,2024-07-22 20:31:33,27.4,66.3,39
507,t4g1,27.4;66.4;39,2024-07-22 20:41:33,27.4,66.4,39
508,t4g1,27.4;66.7;39,2024-07-22 20:51:34,27.4,66.7,39
509,t4g1,27.5;67.5;40,2024-07-22 21:01:34,27.5,67.5,40
510,t4g1,27.5;67.1;39,2024-07-22 21:11:35,27.5,67.1,39
511,t4g1,27.5;67.1;39,2024-07-22 21:21:35,27.5,67.1,39
512,t4g1,27.5;67.5;36,2024-07-22 21:31:36,27.5,67.5,36
513,t4g1,27.5;67.7;40,2024-07-22 21:41:36,27.5,67.7,40
514,t4g1,27.5;68.3;39,2024-07-22 21:51:37,27.5,68.3,39
515,t4g1,27.5;68.7;39,2024-07-22 22:01:37,27.5,68.7,39
