id,clientID,topic,message,timestamp
1099,device01:104,device01,44;30.35;33.49;3,25/7/24 18:16
1100,device01:104,device01,37;29.41;32.09;3,25/7/24 18:26
1101,device01:104,device01,31;29.37;31.51;3,25/7/24 18:36
1102,device01:104,device01,24;29.13;31.07;3,25/7/24 18:46
1103,device01:104,device01,0;28.25;29.97;3,25/7/24 18:56
1104,device01:104,device01,0;28.11;29.15;3,25/7/24 19:06
1105,device01:104,device01,0;28.01;28.87;3,25/7/24 19:16
1106,device01:104,device01,0;27.93;28.73;3,25/7/24 19:26
1107,device01:104,device01,0;27.89;28.57;3,25/7/24 19:36
1108,device01:104,device01,0;27.85;28.63;3,25/7/24 19:46
1109,device01:104,device01,0;27.75;28.39;3,25/7/24 19:56
1110,device01:104,device01,0;27.79;28.43;3,25/7/24 20:06
1111,device01:104,device01,0;27.73;28.39;3,25/7/24 20:16
1112,device01:104,device01,0;27.69;28.33;3,25/7/24 20:26
1113,device01:104,device01,0;27.71;28.33;3,25/7/24 20:36
1114,device01:104,device01,0;27.73;28.19;3,25/7/24 20:46
1115,device01:104,device01,0;27.67;28.25;3,25/7/24 20:56
1116,device01:104,device01,0;27.69;28.33;3,25/7/24 21:06
1117,device01:104,device01,0;27.67;28.21;3,25/7/24 21:17
1118,device01:104,device01,0;27.67;28.27;3,25/7/24 21:27
1119,device01:104,device01,0;27.65;28.15;3,25/7/24 21:37
1120,device01:104,device01,0;27.61;28.19;3,25/7/24 21:47
1121,device01:104,device01,0;27.53;28.09;3,25/7/24 21:57
1122,device01:104,device01,0;27.51;28.03;3,25/7/24 22:07
1123,device01:104,device01,0;27.51;28.03;3,25/7/24 22:17
1124,device01:104,device01,0;27.53;27.95;3,25/7/24 22:27
1125,device01:104,device01,0;27.49;27.93;3,25/7/24 22:37
1126,device01:104,device01,0;27.47;27.97;3,25/7/24 22:47
1127,device01:104,device01,0;27.49;27.91;3,25/7/24 22:57
1128,device01:104,device01,0;27.47;27.87;3,25/7/24 23:07
1129,device01:104,device01,0;27.47;27.95;3,25/7/24 23:17
1130,device01:104,device01,0;27.49;27.99;3,25/7/24 23:27
1131,device01:104,device01,0;27.43;27.83;3,25/7/24 23:37
1132,device01:104,device01,0;27.43;27.83;3,25/7/24 23:47
1133,device01:104,device01,0;27.45;27.73;3,25/7/24 23:57
1134,device01:104,device01,0;27.41;27.81;3,26/7/24 00:07
1135,device01:104,device01,0;27.41;27.77;3,26/7/24 00:17
1136,device01:104,device01,0;27.37;27.57;3,26/7/24 00:27
1137,device01:104,device01,0;27.33;27.67;3,26/7/24 00:37
1138,device01:104,device01,0;27.31;27.59;3,26/7/24 00:47
1139,device01:104,device01,0;27.31;27.59;3,26/7/24 00:57
1140,device01:104,device01,0;27.29;27.55;3,26/7/24 01:07
1141,device01:104,device01,0;27.33;27.63;3,26/7/24 01:17
1142,device01:104,device01,0;27.33;27.61;3,26/7/24 01:27
1143,device01:104,device01,0;27.33;27.69;3,26/7/24 01:37
1144,device01:104,device01,0;27.33;27.59;3,26/7/24 01:47
1145,device01:104,device01,0;27.27;27.53;3,26/7/24 01:57
1146,device01:104,device01,0;27.27;27.53;3,26/7/24 02:07
1147,device01:104,device01,0;27.31;27.59;3,26/7/24 02:17
1148,device01:104,device01,0;27.33;27.61;3,26/7/24 02:27
1149,device01:104,device01,0;27.29;27.51;3,26/7/24 02:37
1150,device01:104,device01,0;27.31;27.67;3,26/7/24 02:47
1151,device01:104,device01,0;27.31;27.61;3,26/7/24 02:57
1152,device01:104,device01,0;27.25;27.51;3,26/7/24 03:07
1153,device01:104,device01,0;27.25;27.49;3,26/7/24 03:17
1154,device01:104,device01,0;27.21;27.47;3,26/7/24 03:27
1155,device01:104,device01,0;27.27;27.49;3,26/7/24 03:37
1156,device01:104,device01,0;27.21;27.43;3,26/7/24 03:47
1157,device01:104,device01,0;27.25;27.43;3,26/7/24 03:57
1158,device01:104,device01,0;27.21;27.45;3,26/7/24 04:07
1159,device01:104,device01,0;27.19;27.35;3,26/7/24 04:17
1160,device01:104,device01,0;27.27;27.47;3,26/7/24 04:27
1161,device01:104,device01,0;27.27;27.45;3,26/7/24 04:37
1162,device01:104,device01,0;27.25;27.51;3,26/7/24 04:47
1163,device01:104,device01,0;27.23;27.49;3,26/7/24 04:57
1164,device01:104,device01,0;27.21;27.43;3,26/7/24 05:07
1165,device01:104,device01,0;27.21;27.43;3,26/7/24 05:17
1166,device01:104,device01,0;27.21;27.37;3,26/7/24 05:27
1167,device01:104,device01,0;27.21;27.43;3,26/7/24 05:37
1168,device01:104,device01,0;27.21;27.35;3,26/7/24 05:47
1169,device01:104,device01,0;27.21;27.43;3,26/7/24 05:57
1170,device01:104,device01,0;27.23;27.47;3,26/7/24 06:07
1171,device01:104,device01,0;27.21;27.35;3,26/7/24 06:17
1172,device01:104,device01,0;27.21;27.39;3,26/7/24 06:27
1173,device01:104,device01,0;26.89;27.23;3,26/7/24 06:37
1174,device01:104,device01,0;26.53;26.87;3,26/7/24 06:47
1175,device01:104,device01,0;26.25;26.73;3,26/7/24 06:57
1176,device01:104,device01,0;26.11;26.69;3,26/7/24 07:07
1177,device01:104,device01,0;26.09;26.73;3,26/7/24 07:17
1178,device01:104,device01,0;26.07;26.79;3,26/7/24 07:27
1179,device01:104,device01,0;25.97;26.83;3,26/7/24 07:37
1180,device01:104,device01,0;26.09;27.11;3,26/7/24 07:47
1181,device01:104,device01,6;26.11;27.23;3,26/7/24 07:57
1182,device01:104,device01,6;26.03;27.35;3,26/7/24 08:07
1183,device01:104,device01,6;25.99;27.41;3,26/7/24 08:17
1184,device01:104,device01,6;25.99;27.33;3,26/7/24 08:27
1185,device01:104,device01,24;25.81;27.39;3,26/7/24 08:37
1186,device01:104,device01,40;26.11;27.91;3,26/7/24 08:47
1187,device01:104,device01,31;26.35;28.45;3,26/7/24 08:57
1188,device01:104,device01,24;26.61;28.81;3,26/7/24 09:07
1189,device01:104,device01,48;26.53;28.87;3,26/7/24 09:17
1190,device01:104,device01,48;26.89;29.73;3,26/7/24 09:27
1191,device01:104,device01,37;27.31;30.23;3,26/7/24 09:37
1192,device01:104,device01,37;27.33;30.29;3,26/7/24 09:47
1193,device01:104,device01,338;27.27;29.77;3,26/7/24 09:57
1194,device01:104,device01,348;27.57;30.83;3,26/7/24 10:07
1195,device01:104,device01,353;28.71;32.17;3,26/7/24 10:18
1196,device01:104,device01,348;29.57;32.93;3,26/7/24 10:28
1197,device01:104,device01,333;29.19;32.87;3,26/7/24 10:38
1198,device01:104,device01,333;28.81;32.23;3,26/7/24 10:48
1199,device01:104,device01,323;29.01;32.13;3,26/7/24 10:58
1200,device01:104,device01,328;28.77;31.73;3,26/7/24 11:08
1201,device01:104,device01,348;29.75;34.07;3,26/7/24 11:18
1202,device01:104,device01,323;28.89;31.63;3,26/7/24 11:28
1203,device01:104,device01,338;29.75;33.55;3,26/7/24 11:38
1204,device01:104,device01,367;31.73;36.55;3,26/7/24 11:48
1205,device01:104,device01,338;31.67;34.93;3,26/7/24 11:58
1206,device01:104,device01,367;31.61;36.81;3,26/7/24 12:08
1207,device01:104,device01,353;32.65;37.29;3,26/7/24 12:18
1208,device01:104,device01,358;32.71;38.37;3,26/7/24 12:28
1209,device01:104,device01,388;33.41;39.29;3,26/7/24 12:38
1210,device01:104,device01,323;32.89;36.43;3,26/7/24 12:48
1211,device01:104,device01,358;29.83;32.69;3,26/7/24 12:58
1212,device01:104,device01,367;33.49;39.15;3,26/7/24 13:08
1213,device01:104,device01,353;32.91;37.53;3,26/7/24 13:18
1214,device01:104,device01,377;32.03;37.21;3,26/7/24 13:28
1215,device01:104,device01,383;33.89;39.61;3,26/7/24 13:38
1216,device01:104,device01,362;32.17;37.33;3,26/7/24 13:48
1217,device01:104,device01,383;34.41;40.81;3,26/7/24 13:58
1218,device01:104,device01,383;33.37;38.67;3,26/7/24 14:08
1219,device01:104,device01,383;35.67;41.37;3,26/7/24 14:18
1220,device01:104,device01,353;36.61;40.51;3,26/7/24 14:28
1221,device01:104,device01,377;36.83;42.45;3,26/7/24 14:38
1222,device01:104,device01,398;35.55;40.81;3,26/7/24 14:48
1223,device01:104,device01,392;35.03;40.89;3,26/7/24 14:58
1224,device01:104,device01,377;36.87;42.65;3,26/7/24 15:08
1225,device01:104,device01,398;36.49;41.65;3,26/7/24 15:18
1226,device01:104,device01,383;34.91;40.31;3,26/7/24 15:28
1227,device01:104,device01,363;35.59;38.69;3,26/7/24 15:38
1228,device01:104,device01,338;33.65;36.69;3,26/7/24 15:48
1229,device01:104,device01,352;31.31;34.47;3,26/7/24 15:58
1230,device01:104,device01,363;33.13;36.83;3,26/7/24 16:08
1231,device01:104,device01,398;35.65;41.53;3,26/7/24 16:18
1232,device01:104,device01,358;36.59;41.19;3,26/7/24 16:28
1233,device01:104,device01,398;36.71;41.63;3,26/7/24 16:38
1234,device01:104,device01,398;36.71;41.55;3,26/7/24 16:48
1235,device01:104,device01,392;36.83;42.19;3,26/7/24 16:58
1236,device01:104,device01,413;36.63;41.69;3,26/7/24 17:08
1237,device01:104,device01,398;36.27;40.75;3,26/7/24 17:18
1238,device01:104,device01,383;35.81;40.31;3,26/7/24 17:28
1239,device01:104,device01,103;35.17;39.41;3,26/7/24 17:38
