id,day_of_week,date,month,hour,year
1019,4,26,7,10,2024
488,0,22,7,17,2024
833,3,25,7,3,2024
1225,5,27,7,20,2024
1383,6,28,7,22,2024
806,2,24,7,22,2024
385,1,16,7,5,2024
1286,6,28,7,6,2024
902,3,25,7,14,2024
549,1,23,7,3,2024
529,1,23,7,0,2024
1252,6,28,7,0,2024
444,1,16,7,14,2024
1042,4,26,7,13,2024
1328,6,28,7,13,2024
500,0,22,7,19,2024
353,0,15,7,23,2024
420,1,16,7,10,2024
1472,0,29,7,13,2024
883,3,25,7,11,2024
1375,6,28,7,21,2024
1305,6,28,7,9,2024
1464,0,29,7,12,2024
798,2,24,7,21,2024
783,2,24,7,18,2024
336,0,15,7,20,2024
1341,6,28,7,15,2024
1028,4,26,7,11,2024
1060,4,26,7,16,2024
1299,6,28,7,8,2024
681,2,24,7,1,2024
1476,0,29,7,14,2024
1362,6,28,7,19,2024
698,2,24,7,4,2024
769,2,24,7,16,2024
579,1,23,7,8,2024
1068,4,26,7,18,2024
1285,6,28,7,6,2024
759,2,24,7,14,2024
710,2,24,7,6,2024
1050,4,26,7,15,2024
491,0,22,7,18,2024
330,0,15,7,19,2024
1015,4,26,7,9,2024
1121,5,27,7,3,2024
910,3,25,7,15,2024
373,1,16,7,3,2024
587,1,23,7,10,2024
1435,0,29,7,7,2024
593,1,23,7,11,2024
1148,5,27,7,7,2024
683,2,24,7,2,2024
1256,6,28,7,1,2024
1126,5,27,7,3,2024
1308,6,28,7,10,2024
1030,4,26,7,11,2024
1347,6,28,7,16,2024
862,3,25,7,7,2024
1396,0,29,7,0,2024
1205,5,27,7,17,2024
771,2,24,7,16,2024
708,2,24,7,6,2024
990,4,26,7,5,2024
1217,5,27,7,19,2024
1461,0,29,7,11,2024
