id,temperature,air_quality,humidity
784,26.0,60.1,44.0
1197,34.5,47.9,37.0
1491,30.9,49.6,44.0
1002,26.5,67.0,46.0
344,27.1,70.2,29.0
1315,33.7,54.9,44.0
1348,35.7,47.4,42.0
509,27.5,67.5,40.0
1415,33.7,56.6,40.0
1423,33.5,57.5,41.0
1257,33.1,56.7,41.0
818,27.3,68.3,43.0
1230,33.7,53.3,42.0
1282,32.8,57.5,40.0
1492,30.9,49.5,43.0
1485,30.8,50.5,44.0
1115,31.6,58.8,38.0
894,25.8,60.5,42.0
472,25.9,65.0,35.0
995,27.4,74.1,39.0
1440,29.4,50.2,49.0
474,26.0,66.3,35.0
1136,31.6,59.6,37.0
1020,24.9,58.1,48.0
1313,33.5,55.6,39.0
1192,34.3,49.9,35.0
1210,34.9,47.6,39.0
1228,33.8,52.8,41.0
1508,32.0,50.2,39.0
464,25.6,62.5,38.0
1284,32.8,58.0,40.0
1307,33.3,57.2,41.0
824,27.4,69.3,43.0
423,24.9,60.6,38.0
541,27.7,73.0,39.0
1291,32.8,58.6,41.0
1166,32.3,58.2,36.0
415,24.8,59.9,38.0
736,25.3,59.2,45.0
734,25.2,58.5,45.0
939,27.0,63.3,40.0
901,25.7,61.6,42.0
1370,34.6,52.3,42.0
1234,33.6,53.9,40.0
987,27.3,73.2,41.0
431,25.0,60.2,37.0
365,27.3,72.8,30.0
463,25.7,62.7,37.0
718,26.1,64.8,47.0
1498,30.4,50.4,45.0
522,27.6,69.7,39.0
1452,29.7,51.4,46.0
973,27.2,71.4,43.0
1406,33.8,55.7,40.0
547,27.7,73.3,40.0
320,26.3,60.9,27.0
471,25.7,64.4,36.0
348,27.2,70.7,29.0
767,26.4,58.9,43.0
966,27.2,70.0,43.0
568,27.3,69.4,43.0
618,27.3,59.8,45.0
1211,34.9,47.9,38.0
1358,35.4,47.1,41.0
1195,34.4,48.7,36.0
886,25.5,60.7,44.0
938,26.9,63.6,39.0
1326,34.5,50.7,39.0
1455,29.8,51.8,47.0
1330,34.8,49.4,39.0
577,25.6,60.8,48.0
925,26.4,59.4,42.0
612,26.9,59.5,47.0
729,25.2,58.3,46.0
462,25.8,62.4,38.0
